000659753	*	fr	fr	014839591	|||	eng			CHAPAUX, Albert.		Le Congo historique, diplomatique, physique, politique, économique, humanitaire et colonial. Ouvrage contenant une grande carte, etc. [electronic resource]		Bruxelles, 1894.					lsidyv358e201d -- lsidyv3d76cce2
000772783	*	de	de	014839670	|||	eng			Cook, James, 1728-1779.		The Life, Voyages und Discoveries of Captain James Cook. Englisches Lesebuch für deutsche Schulen, mit einem ... Wörter-Verzeichniss von Dr. H. Robolsky. [electronic resource]		Quedlinburg, 1864.			ROBOLSKY, Hermann.		lsidyv34f21acb
000984697	*	pl	pl	014839831	|||	eng			DROHOJOWSKI, Joźef.		[Pielgrzymka ... do Ziemi Świętey, Egiptu, niektórych wschodnich, i południowych kraiów. Odbyta w roku 1788-91.] [electronic resource]	[Another edition.]	w Wilnie, 1822-46.					lsidyv3504b052
001231846	*	pt	pt	014839986	|||	fre			Mourão, Joaquim Cesar de Figanière e.		Descripção de Serra Leôa e seus contornos; escripta em doze cartas. A qual se ajuntão os trabalhos da Commissão-mixta Portugueza e Ingleza estabelecida naquella colonia, etc. [electronic resource]		Lisboa, 1822.					lsidyv35b5a6d4
001311352	*	fr	fr	014840041	|||	eng			FRANKLAND, Charles Colville.		Narrative of a visit to the courts of Russia and Sweden, in 1830 and 1831, etc. (Observations sur la Géorgie et l'établissement formé par M. Mrs Castellaz et compagnie ... pour la filature ... des soies.). [electronic resource]		London, 1832.					lsidyv359ac582 -- lsidyv359a68ca
001448180	*	es	es	014840118	|||	ita			Goethe, Johann Wolfgang von, 1749-1832		Viaje á Italia ... Traducido ... por Fanny G. Garrido de Rodríguez Mourelo. [electronic resource]		Madrid, 1891.			GARRIDO DE RODRIGUEZ MOURELO, Fanny G.		lsidyv3598cfab
001743448	*	en	en	014840307	|||	fre			HOURST, Émile Auguste Léon.		French Enterprise in Africa: the personal narrative of Lieut. Hourst of his exploration of the Niger. Translated by Mrs. A. Bell ... With 190 illustrations and map. [electronic resource]		London : Chapman & Hall, 1898.			MEUGENS, afterwards BELL, Nancy R. E.		lsidyv35b81d72
001899524	*	cy	cy	014840427	|||	gle			JONES, William, Curate of Llanbeulan.		Traethawd gwobrwyol ar nodweddiad y Cymry fel cenedl, yn yr oes hon, etc. [electronic resource]		Llundain : Simpkin & Marshall, 1841.					lsidyv35531738
002091783	*	de	de	014840535	|||	eng			LAVERRENZ, C.		Zwei Wanderungen durch da nördliche Afrika. Aegypten-Algerien. [electronic resource]		Berlin, 1891.					lsidyv358ee248
002363116	*	en	en	014840685	|||	fre			MANDAT-GRANCEY, Edmond de, Baron.		En visite chez l'Oncle Sam. New-York et Chicago ... Dessins, etc. [electronic resource]		Paris, 1885.					lsidyv3580de21
002682293	*	en	en	014840873	|||	fre			NUËLITO, E.		Au Dahomey. Journal d'un officier de Spahis. [electronic resource]		Abbeville, 1897.					lsidyv35b84fff
002705694	*	fr	fr	014840886	|||	eng			OLIVIER, Aimé, Count de Sanderval.		Soudan français. Kahel. Carnet de voyage ... Avec 50 gravures dessinées par Fiorillo Fournier et 5 cartes. [electronic resource]		Paris, 1893.					lsidyv3559d8f1
003247238	*	es	es	014841173	|||	ita					Recuerdo del Centenario. Trabajos que han obtenido premio en el certamen literario abierto por el Gabinete instructivo de Santa Cruz de Tenerife para commemorar el primer centenario de la gloriosa victoria alcanzada por el puerto y plaza de Santa Cruz de Tenerife en el 25 de Julio de 1797. [electronic resource]		Santa Cruz de Tenerife, 1897.					lsidyv35076c22
003249899	*	it	it	014841175	|||	spa			SAPETO, Giuseppe.		Âssab e i suoi critici. (Con la carta della baia d'Âssab, e regioni adiacente.). [electronic resource]		Genova, 1879.					lsidyv355e5fc2
003345986	*	fr	fr	014841249	|||	eng			SEVIN DESPLACES, Louis.		Afrique et Africains. [electronic resource]		Paris, [1892]					lsidyv355adf25
003372548	*	bg	bg	014841263	|||	rus			SHOPOV, A. P.		Изъ живота и положението на Българитѣ въ вилаетитѣ.. [electronic resource]		Пловдивъ, 1893.					lsidyv35953f7c
003478860	*	da	da	014841327	|||	nno			Stanley, Henry M. (Henry Morton), 1841-1904.		I det mörkeste Afrika ... Oversat af ... C. Delgobe og B. Geelmuyden. Med ... Illustrationer, etc. [electronic resource]		Christiania, [1890]			DELGOBE, Charles Antoine. -- GEELMUYDEN, B.		lsidyv3d76e28d
003564394	*	en	en	014841384	|||	ger					Yacht-Reise in den Syrten. 1873. By Louis Salvator, Archduke of Austria. With illustrations by the author.] [electronic resource]		Prag, 1874.					lsidyv35064bef
003579756	*	uk	uk	014841391	|||	rus			TARASENKO OTRYESHKOV, Narkis Ivanovich.		Замѣтки въ поѣздку во Францію, С. Италію, Бельгію и Голландію.. [electronic resource]		Санктпетербургъ, 1871.					lsidyv359160ab
003957109	*	de	de	014841634	|||	fre			WISSMANN, Hermann Wilhelm Leopold Ludwig von.		Unter deutscher Flagge quer durch Afrika von West nach Ost. Von 1880 bis 1883 ausgeführt von P. Pogge und H. Wissmann ... Mit ... Abbildungen, etc. [electronic resource]		Berlin, 1889.			POGGE, Paul.		lsidyv35b667ee
000041886	*	fr	fr	014846773	|||	ita			ALBRAND, Fanny.		Relation de mon voyage en Italie, etc. [electronic resource]		Marseille, 1871.					lsidyv35e56602
000223237	*	nl	nl	014846851	|||	ger				Koninklijk Bataviaasch Genootschap van Kunsten en Wetenschappen (BATAVIA). Museum.	Catalogus der ethnologische verzameling van het Bataviaasch Genootschap van Kunsten en Wetenschappen. Door Mr. J. A. van der Chijs. Vierde druk, supplement. [electronic resource]		Batavia, 1894.			CHIJS, Jacob Anne van der.		lsidyv35d83a4e
000355246	*	fr	fr	014846900	|||	eng			BIRAT, Hercule.		Chant communiste: par un homme qui ne l'est guère. [electronic resource]		Narbonne, 1849.					lsidyv35c64e0a
000558105	*	it	it	014846983	|||	eng			Byron, George Gordon Byron, Baron, 1788-1824		Italia. Canto ... tradotto da A. Maffei. [electronic resource]		Firenze, 1872.			MAFFEI, Andrea.		lsidyv35c67452
000632605	*	it	it	014847022	|||	eng			Catalani, Luigi.		I Palazzi di Napoli. Ricerche. [electronic resource]		Napoli, 1845.					lsidyv35c9a122
000877543	*	cy	cy	014847128	|||	eng			DAVIES, Thomas, called Tegwyn.		Dinas Mawddwy a'i hamgylchoedd. Yn cynwys hanes-gwladol, cymdeithasol, crefyddol, hynafiaethol, a thraddodiadol, &c., &c. [electronic resource]		Machynlleth : Argraffwyd dros yr awdwr, 1893.					lsidyv35bc973b
