Print ID	Scan ID	DOM ID	ARK
003871500	014603041	lsidyv2eb350cf	ark:/81055/vdc_0000000284BE
003885435	014603042	lsidyv2eb33ec2	ark:/81055/vdc_000000028446
003945042	014603043	lsidyv2eb353f4	ark:/81055/vdc_0000000284D6
003970557	014603044	lsidyv2eb33e33	ark:/81055/vdc_000000028440
003990870	014603045	lsidyv2eb34bc5	ark:/81055/vdc_0000000284A0
004079262	014603046	lsidyv2eb333ff	ark:/81055/vdc_00000002842E
000022376	014603250	lsidyv2eb3a883	ark:/81055/vdc_000000028596
001265913	014603251	lsidyv2eb4ff55	ark:/81055/vdc_0000000287A6
001334519	014603252	lsidyv2eb3f6c6	ark:/81055/vdc_000000028632
001595035	014603253	lsidyv2eb441dd	ark:/81055/vdc_0000000286C2
001710669	014603254	lsidyv2eb3f7d7	ark:/81055/vdc_000000028638
001733808	014603255	lsidyv2eb4f344	ark:/81055/vdc_00000002877C
001736673	014603256	lsidyv2eb54a58	ark:/81055/vdc_000000028824
001818386	014603257	lsidyv2eb4f885	ark:/81055/vdc_00000002878E
001833045	014603258	lsidyv2eb54864	ark:/81055/vdc_000000028818
002049118	014603259	lsidyv2eb3b5ae	ark:/81055/vdc_0000000285B4
002204611	014603260	lsidyv2eb3a97f	ark:/81055/vdc_00000002859C
002331595	014603261	lsidyv2eb465ad	ark:/81055/vdc_00000002870A
002331598	014603262	lsidyv2eb44b75	ark:/81055/vdc_0000000286D4
002331607	014603263	lsidyv2eb44c22	ark:/81055/vdc_0000000286DA
002499053	014603264	lsidyv2eb4fe19	ark:/81055/vdc_00000002879A
002537678	014603265	lsidyv2eb4fcf0	ark:/81055/vdc_000000028794
002919334	014603266	lsidyv2eb5219b	ark:/81055/vdc_0000000287D6
002919336	014603267	lsidyv2eb54269	ark:/81055/vdc_000000028806
002941566	014603268	lsidyv2eb43b9e	ark:/81055/vdc_0000000286B6
002941589	014603269	lsidyv2eb3a00b	ark:/81055/vdc_000000028572
002941590	014603270	lsidyv34584fdf,lsidyv2eb51bca	ark:/81055/vdc_00000002DCD2,ark:/81055/vdc_0000000287D0
002957667	014603271	lsidyv2eb452e7	ark:/81055/vdc_0000000286F2
003130216	014603272	lsidyv2eb5492d	ark:/81055/vdc_00000002881E
003157861	014603273	lsidyv2eb3af7b	ark:/81055/vdc_0000000285A8
003353326	014603274	lsidyv2eb3be9b	ark:/81055/vdc_0000000285DE
003354147	014603275	lsidyv2eb3c3cc	ark:/81055/vdc_0000000285E4
003504226	014603276	lsidyv2eb50f5b	ark:/81055/vdc_0000000287BE
003576684	014603277	lsidyv2eb3a7a2	ark:/81055/vdc_000000028590
003599468	014603278	lsidyv2eb3ae7a	ark:/81055/vdc_0000000285A2
003894575	014603279	lsidyv2eb45262	ark:/81055/vdc_0000000286EC
003917239	014603280	lsidyv2eb3c751	ark:/81055/vdc_0000000285F0
003973905	014603281	lsidyv2eb44007	ark:/81055/vdc_0000000286BC
003988636	014603282	lsidyv2eb50d6a	ark:/81055/vdc_0000000287B8
003996599	014603283	lsidyv2eb550a3,lsidyv36b2993a	ark:/81055/vdc_000000028836,ark:/81055/vdc_000000010050
003996606	014603284	lsidyv2eb54b15	ark:/81055/vdc_00000002882A
003996610	014603285	lsidyv2eb54b9e	ark:/81055/vdc_000000028830
000159509	014603286	lsidyv2eb3b6df	ark:/81055/vdc_0000000285BA
000208661	014603287	lsidyv2eb428db	ark:/81055/vdc_000000028686
000308164	014603288	lsidyv2eb54769	ark:/81055/vdc_000000028812
000351388	014603289	lsidyv2eb4f3eb	ark:/81055/vdc_000000028782
000443714	014603290	lsidyv2eb43a1a	ark:/81055/vdc_0000000286AA
000544042	014603291	lsidyv2eb4392a	ark:/81055/vdc_0000000286A4
000557781	014603292	lsidyv2eb52d59	ark:/81055/vdc_0000000287EE
000561686	014603293	lsidyv2eb39d46	ark:/81055/vdc_000000028560
000584476	014603294	lsidyv2eb4e45f	ark:/81055/vdc_00000002876A
000621914	014603295	lsidyv2eb43ab5	ark:/81055/vdc_0000000286B0
000726602	014603296	lsidyv2eb3ba67	ark:/81055/vdc_0000000285CC
000730851	014603297	lsidyv2eb3b8b2	ark:/81055/vdc_0000000285C6
000740636	014603298	lsidyv2eb3b814	ark:/81055/vdc_0000000285C0
000825551	014603299	lsidyv2eb4fe8a	ark:/81055/vdc_0000000287A0
000970514	014603300	lsidyv2eb3b0a4	ark:/81055/vdc_0000000285AE
001043207	014603301	lsidyv2eb52815	ark:/81055/vdc_0000000287E2
001169574	014603313	lsidyv2eb66177	None
000786109	014603314	lsidyv2eb754ab	ark:/81055/vdc_000000028ABE
000882191	014603315	lsidyv2eb73c7e	ark:/81055/vdc_000000028AA0
001180134	014603316	lsidyv2eb8759b	ark:/81055/vdc_000000028C4A
001197390	014603317	lsidyv2eb7f9d4	ark:/81055/vdc_000000028B96
001369802	014603318	lsidyv2eb56117	ark:/81055/vdc_00000002884E
001878550	014603319	lsidyv2eb7572c	ark:/81055/vdc_000000028AC4
001949448	014603320	lsidyv2eb6837a	ark:/81055/vdc_0000000289D4
001968147	014603321	lsidyv2eb85544	ark:/81055/vdc_000000028C2C
